name,id,primaryCuisineId,address,chainCode,chainName,chainMainCode,cuisines,heroImage,heroListingImage,latitude,longitude,minimumDeliveryTime,minimumDeliveryTimeUpperLimit,minimumDeliveryTimeLowerLimit,minimumOrderAmount,minimumPickupTime,postCode,rating,urlKey,reviewNumber,vendorPoints,webPath,legalName,tradeRegisterNumber,customerPhone,vertical,deliveryProvider,isActive,is_best_in_city,is_new,is_delivery_enabled,is_pickup_enabled,is_service_fee_enabled,is_test,is_promoted
Roll N Roll,88914,103,S2 Main Saudabad Chowrangi Malir Karachi,,,,"Wraps & Rolls, Beverages, Pasta, Sandwiches, Burgers, Fast Food, Karahi & Handi",https://images.deliveryhero.io/image/fd-pk/LH/b5ga-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/b5ga-listing.jpg,24.90124264,67.20090687,0,,,0,15,75050,4.2,roll-n-roll-b5ga,220,12190,https://foodpanda.pk/restaurant/b5ga/roll-n-roll-b5ga,IMRAN S/O SHOUKAT ALI QADRI,+923112567205,+923112567205,restaurants,dine_in,true,false,false,true,true,false,false,false
H pro pizza and fastfood,69810,73,"Street Number 01, Essa Nagri Eissa Nagri, Karachi, Karachi City, Sindh, Pakistan",,,,"Wraps & Rolls, Beverages, Pizza, Fast Food",https://images.deliveryhero.io/image/fd-pk/LH/jxu7-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/jxu7-listing.jpg,24.9021814,67.0671992,0,,,0,15,75290,3.5,h-pro-pizza-and-fastfood,135,9607,https://foodpanda.pk/restaurant/jxu7/h-pro-pizza-and-fastfood,IRFAN VICKY,+923465550083,+923465550083,"beverages, bakery, drinks, restaurants, convenience, snacks_and_sweets, bakery_and_dessert, home_based_kitchen",platform_delivery,true,false,false,true,false,false,false,false
Imperial Court Chinese Restaurant,1969,74,"Plot #180–A,block2 PECHS,Tariq road,",,,,"Seafood, Chinese",https://images.deliveryhero.io/image/fd-pk/LH/s6wf-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/s6wf-listing.jpg,24.86892128,67.05935669,17020,180,160,0,10,75400,4.4,imperial-court-chinese-restaurant,1268,13389,https://foodpanda.pk/restaurant/s6wf/imperial-court-chinese-restaurant,IMPERIAL COURT CHINESE RESTAURANT,,+922134554397,restaurants,dine_in,true,false,false,true,true,false,false,false
Aslam Nihari & Bar B Q Fast Food,86372,139,"REHMAN SQUARE,  Rehman Square Sir shah Suleman road blok 13 d",,,,"Wraps & Rolls, Paratha, Pakistani, Sandwiches, Biryani, Burgers, Karahi & Handi, Nihari",https://images.deliveryhero.io/image/fd-pk/LH/jxta-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/jxta-listing.jpg,24.904414,67.068519,17025,180,160,0,10,75300,4.1,aslam-nihari-and-bar-b-q-fast-food,238,12497,https://foodpanda.pk/restaurant/jxta/aslam-nihari-and-bar-b-q-fast-food,SIDDIQUI,+923162336129,+923162336129,restaurants,dine_in,true,false,false,true,true,false,false,false
Standard khauasa,9803,103,al qasim plaza near selani chowk dhoraji colony,,,,"Pasta, Pakistani",https://images.deliveryhero.io/image/fd-pk/LH/t1jf-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/t1jf-listing.jpg,24.887898,67.077958,0,,,0,12,74000,3.6,standard-khauasa,1945,11963,https://foodpanda.pk/restaurant/t1jf/standard-khauasa,Abdul Azeem,,+923112144699,restaurants,dine_in,true,false,false,true,true,false,false,false
King's Dairy,80877,0,"Plot # 67C Near Shafqat Furniture Backside of Ideal Bakery, Khayaban e Tauheed Commercial, Phase 5 DHA Karachi, Pakistan 75500",,,,,https://images.deliveryhero.io/image/fd-pk/LH/tw36-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/tw36-listing.jpg,24.80643545,67.0394226,17015,180,160,0,15,75500,0,kings-dairy,0,0,https://foodpanda.pk/restaurant/tw36/kings-dairy,NADIR ALI,+923131399415,+923131399415,"specialty_and_ethnic, convenience, groceries",platform_delivery,true,false,false,true,false,false,false,false
Marhaba Bar B.Q & Sheermal House,36166,139,"Journalists Society Block 4 A Gulshan-e-Iqbal, Near Arshad Ali Sabri Family Park، Karachi",,,,"Wraps & Rolls, Shakes, BBQ, Pulao, Paratha, Pakistani, Qeema, Karahi & Handi, Nihari",https://images.deliveryhero.io/image/fd-pk/LH/w2bl-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/w2bl-listing.jpg,24.940572,67.099036,0,,,0,12,75500,4.1,marhaba-bar-b-q-and-sheermal-house,712,14053,https://foodpanda.pk/restaurant/w2bl/marhaba-bar-b-q-and-sheermal-house,Mohiuddin,,+923122874642,restaurants,dine_in,true,false,false,true,true,false,false,false
Lala pakwan and shirmal house,53176,139,"Shop # 10,Quetta town scheme 33 opposite PCSIR Socity Karachi",,,,"Pulao, Pakistani, Qeema, Karahi & Handi",https://images.deliveryhero.io/image/fd-pk/LH/i1ji-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/i1ji-listing.jpg,24.96561247,67.12944493,0,,,0,15,75300,4.3,lala-pakwan-and-shirmal-house,996,13382,https://foodpanda.pk/restaurant/i1ji/lala-pakwan-and-shirmal-house,Muhammad Shakeel,+923090514154,+923090514154,restaurants,dine_in,true,false,false,true,false,false,false,false
Munawar Restaurant,9911,139,"Shop # D1-D2 , Beech Blessing Centre oppt. Bilawal House, Block 2 Clifton",ct9ci,Munawar Restaurant,t9yv,"Wraps & Rolls, Samosa, Savouries, Pakistani, Qeema, Karahi & Handi, Nihari",https://images.deliveryhero.io/image/fd-pk/LH/t9yv-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/t9yv-listing.jpg,24.8119155,67.0185602,17005,180,160,0,10,75500,4.2,munawar-restaurant,2470,14282,https://foodpanda.pk/restaurant/t9yv/munawar-restaurant,Munawar Raza,,+923088297032,restaurants,dine_in,true,false,false,true,true,false,false,false
North Eatery,94178,86,"Shop No 41, Burhani Bagh, Block - E North Nazimabad, Karachi",,,,"Beverages, Pasta, Burgers, Fast Food",https://images.deliveryhero.io/image/fd-pk/LH/picw-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/picw-listing.jpg,24.9372022,67.0405423,0,,,0,15,75300,4.7,north-eatery,16,9669,https://foodpanda.pk/restaurant/picw/north-eatery,NORTH EATERY,+923000087152,+923000087152,restaurants,platform_delivery,true,false,false,true,true,false,false,false
